# LALSimulation RG SLy4 EoS from COMPOSE
        n(fm-3)             rho(MeVfm-3)              P(MeVfm-3)
1.000073441737777225e-11 9.304616920613484706e-09 1.074456627630062106e-14
1.000076189671037033e-11 9.304642487240300447e-09 1.074980730700822759e-14
1.000079000934415354e-11 9.304668643087212608e-09 1.075505089420823780e-14
1.000081876987446368e-11 9.304695401733654879e-09 1.076029703914782658e-14
1.000084819323302556e-11 9.304722777072019767e-09 1.076554574307453169e-14
1.000087829469567435e-11 9.304750783314871618e-09 1.077079700723659141e-14
1.000090908989030753e-11 9.304779435002316792e-09 1.077605083288277256e-14
1.000094059480498378e-11 9.304808747009569062e-09 1.078130722126267972e-14
1.000097282579624006e-11 9.304838734554655622e-09 1.078656617362629770e-14
1.000100579959756049e-11 9.304869413206329901e-09 1.079182769122429921e-14
1.000103953332808762e-11 9.304900798892148155e-09 1.079709177530796278e-14
1.000107404450149361e-11 9.304932907906739616e-09 1.080235842712910024e-14
1.000110935103507922e-11 9.304965756920270206e-09 1.080762764794037064e-14
1.000114547125907797e-11 9.304999362987086572e-09 1.081289943899481327e-14
1.000118242392616708e-11 9.305033743554588431e-09 1.081817380154615055e-14
1.000122022822121437e-11 9.305068916472267991e-09 1.082345073684863662e-14
1.000125890377121568e-11 9.305104900000987616e-09 1.082873024615737757e-14
1.000129847065551185e-11 9.305141712822457660e-09 1.083401233072785660e-14
1.000133894941620443e-11 9.305179374048934330e-09 1.083929699181624316e-14
1.000138036106879917e-11 9.305217903233145854e-09 1.084458423067924792e-14
1.000142272711315643e-11 9.305257320378440336e-09 1.084987404857442243e-14
1.000146606954461779e-11 9.305297645949175139e-09 1.085516644675969534e-14
1.000151041086544597e-11 9.305338900881331273e-09 1.086046142649369739e-14
1.000155577409649585e-11 9.305381106593394123e-09 1.086575898903566987e-14
1.000160218278917952e-11 9.305424284997474069e-09 1.087105913564538579e-14
1.000164966103767847e-11 9.305468458510670290e-09 1.087636186758346538e-14
1.000169823349145960e-11 9.305513650066719127e-09 1.088166718611091543e-14
1.000174792536808031e-11 9.305559883127898858e-09 1.088697509248943218e-14
1.000179876246626184e-11 9.305607181697210768e-09 1.089228558798125618e-14
1.000185077117930352e-11 9.305655570330838138e-09 1.089759867384946418e-14
1.000190397850877646e-11 9.305705074150899717e-09 1.090291435135753052e-14
1.000195841207853231e-11 9.305755718858487745e-09 1.090823262176961112e-14
1.000201410014906745e-11 9.305807530747015336e-09 1.091355348635048666e-14
1.000207107163217637e-11 9.305860536715861652e-09 1.091887694636547425e-14
1.000212935610596853e-11 9.305914764284349600e-09 1.092420300308073825e-14
1.000218898383021810e-11 9.305970241606014695e-09 1.092953165776283270e-14
1.000224998576209162e-11 9.306026997483241200e-09 1.093486291167900901e-14
1.000231239357220220e-11 9.306085061382194385e-09 1.094019676609704870e-14
1.000237623966105447e-11 9.306144463448143222e-09 1.094553322228559313e-14
1.000244155717587585e-11 9.306205234521090791e-09 1.095087228151366865e-14
1.000250838002781927e-11 9.306267406151793458e-09 1.095621394505099579e-14
1.000257674290956341e-11 9.306331010618144016e-09 1.096155821416792145e-14
1.000264668131333939e-11 9.306396080941918784e-09 1.096690509013531317e-14
1.000271823154934366e-11 9.306462650905936637e-09 1.097225457422492358e-14
1.000279143076459023e-11 9.306530755071588625e-09 1.097760666770886978e-14
1.000286631696220568e-11 9.306600428796782823e-09 1.098296137185997411e-14
1.000294292902115221e-11 9.306671708254301126e-09 1.098831868795160165e-14
1.000302130671641442e-11 9.306744630450579556e-09 1.099367861725796786e-14
1.000310149073964975e-11 9.306819233244920361e-09 1.099904116105368421e-14
1.000318352272031225e-11 9.306895555369154098e-09 1.100440632061405480e-14
1.000326744524726596e-11 9.306973636447733502e-09 1.100977409721493276e-14
1.000335330189090223e-11 9.307053517018323668e-09 1.101514449213302322e-14
1.000344113722575154e-11 9.307135238552832289e-09 1.102051750664542413e-14
1.000353099685363644e-11 9.307218843478952751e-09 1.102589314202993554e-14
1.000362292742732376e-11 9.307304375202182023e-09 1.103127139956496808e-14
1.000371697667477940e-11 9.307391878128362987e-09 1.103665228052949563e-14
1.000381319342391755e-11 9.307481397686731339e-09 1.104203578620333930e-14
1.000391162762796862e-11 9.307572980353511749e-09 1.104742191786671304e-14
1.000401233039140453e-11 9.307666673676035133e-09 1.105281067680053765e-14
1.000411535399647641e-11 9.307762526297436617e-09 1.105820206428626718e-14
1.000422075193035156e-11 9.307860587981897778e-09 1.106359608160622974e-14
1.000432857891289512e-11 9.307960909640484457e-09 1.106899273004314313e-14
1.000443889092506400e-11 9.308063543357593380e-09 1.107439201088041621e-14
1.000455174523797939e-11 9.308168542417971181e-09 1.107979392540209523e-14
1.000466720044266160e-11 9.308275961334401799e-09 1.108519847489277707e-14
1.000478531648044192e-11 9.308385855875974540e-09 1.109060566063791214e-14
1.000490615467409010e-11 9.308498283097080072e-09 1.109601548392334373e-14
1.000502977775964467e-11 9.308613301367001981e-09 1.110142794603562192e-14
1.000515624991899124e-11 9.308730970400221361e-09 1.110684304826184901e-14
1.000528563681317915e-11 9.308851351287437742e-09 1.111226079188998559e-14
1.000541800561651036e-11 9.308974506527269960e-09 1.111768117820838982e-14
1.000555342505141835e-11 9.309100500058709758e-09 1.112310420850612510e-14
1.000569196542414352e-11 9.309229397294313241e-09 1.112852988407287961e-14
1.000583369866124059e-11 9.309361265154169868e-09 1.113395820619890006e-14
1.000597869834690358e-11 9.309496172100629154e-09 1.113938917617529142e-14
1.000612703976120181e-11 9.309634188173864473e-09 1.114482279529355468e-14
1.000627879991912387e-11 9.309775385028225986e-09 1.115025906484589448e-14
1.000643405761058763e-11 9.309919835969438961e-09 1.115569798612508346e-14
1.000659289344134847e-11 9.310067615992667309e-09 1.116113956042474148e-14
1.000675538987481557e-11 9.310218801821447327e-09 1.116658378903889231e-14
1.000692163127491828e-11 9.310373471947521403e-09 1.117203067326227442e-14
1.000709170394984811e-11 9.310531706671588243e-09 1.117748021439024632e-14
1.000726569619690745e-11 9.310693588144989469e-09 1.118293241371872504e-14
1.000744369834834057e-11 9.310859200412372278e-09 1.118838727254450167e-14
1.000762580281821953e-11 9.311028629455306685e-09 1.119384479216475857e-14
1.000781210415044329e-11 9.311201963236933417e-09 1.119930497387737862e-14
1.000800269906780310e-11 9.311379291747639175e-09 1.120476781898082370e-14
1.000819768652221919e-11 9.311560707051764214e-09 1.121023332877440768e-14
1.000839716774609216e-11 9.311746303335405110e-09 1.121570150455784201e-14
1.000860124630487424e-11 9.311936176955314371e-09 1.122117234763155758e-14
1.000881002815083602e-11 9.312130426488928318e-09 1.122664585929652961e-14
1.000902362167806747e-11 9.312329152785543096e-09 1.123212204085462943e-14
1.000924213777876824e-11 9.312532459018668589e-09 1.123760089360809286e-14
1.000946568990079166e-11 9.312740450739604911e-09 1.124308241885990353e-14
1.000969439410658456e-11 9.312953235932234845e-09 1.124856661791365095e-14
1.000992836913340024e-11 9.313170925069080223e-09 1.125405349207350046e-14
1.001016773645497993e-11 9.313393631168671863e-09 1.125954304264448361e-14
1.001041262034459788e-11 9.313621469854209907e-09 1.126503527093203265e-14
1.001066314793958789e-11 9.313854559413600595e-09 1.127053017824229298e-14
1.001091944930734327e-11 9.314093020860871111e-09 1.127602776588197642e-14
1.001118165751286458e-11 9.314336977998987339e-09 1.128152803515866565e-14
1.001144990868780816e-11 9.314586557484140680e-09 1.128703098738032994e-14
1.001172434210119393e-11 9.314841888891492371e-09 1.129253662385567689e-14
1.001200510023170454e-11 9.315103104782454701e-09 1.129804494589404365e-14
1.001229232884163565e-11 9.315370340773510782e-09 1.130355595480532111e-14
1.001258617705259908e-11 9.315643735606620855e-09 1.130906965190028530e-14
1.001288679742293044e-11 9.315923431221259797e-09 1.131458603849011455e-14
1.001319434602688850e-11 9.316209572828100711e-09 1.132010511588669716e-14
1.001350898253569134e-11 9.316502308984405829e-09 1.132562688540248469e-14
1.001383087030041541e-11 9.316801791671159439e-09 1.133115134835081852e-14
1.001416017643679931e-11 9.317108176371966038e-09 1.133667850604542659e-14
1.001449707191201049e-11 9.317421622153779841e-09 1.134220835980076417e-14
1.001484173163339110e-11 9.317742291749480573e-09 1.134774091093192863e-14
1.001519433453929111e-11 9.318070351642365006e-09 1.135327616075457747e-14
1.001555506369194845e-11 9.318405972152575747e-09 1.135881411058524853e-14
1.001592410637253556e-11 9.318749327525540086e-09 1.136435476174088200e-14
1.001630165417839844e-11 9.319100596022413921e-09 1.136989811553914853e-14
1.001668790312251372e-11 9.319459960012649888e-09 1.137544417329826782e-14
1.001708305373527230e-11 9.319827606068663217e-09 1.138099293633735731e-14
1.001748731116856357e-11 9.320203725062707819e-09 1.138654440597592096e-14
1.001790088530232012e-11 9.320588512265959285e-09 1.139209858353419796e-14
1.001832399085345033e-11 9.320982167449904073e-09 1.139765547033299390e-14
1.001875684748732844e-11 9.321384894990058025e-09 1.140321506769398527e-14
1.001919967993184042e-11 9.321796903972060557e-09 1.140877737693927614e-14
1.001965271809404393e-11 9.322218408300238803e-09 1.141434239939166318e-14
1.002011619717955216e-11 9.322649626808654960e-09 1.141991013637461990e-14
1.002059035781462204e-11 9.323090783374716233e-09 1.142548058921216572e-14
1.002107544617110065e-11 9.323542107035418531e-09 1.143105375922921461e-14
1.002157171409421802e-11 9.324003832106242095e-09 1.143662964775107814e-14
1.002207941923334642e-11 9.324476198302809918e-09 1.144220825610380625e-14
1.002259882517576442e-11 9.324959450865340373e-09 1.144778958561400739e-14
1.002313020158349394e-11 9.325453840685968509e-09 1.145337363760918142e-14
1.002367382433332153e-11 9.325959624439005494e-09 1.145896041341723052e-14
1.002422997566001215e-11 9.326477064714192442e-09 1.146454991436678580e-14
1.002479894430283640e-11 9.327006430153034671e-09 1.147014214178714097e-14
1.002538102565548573e-11 9.327547995588272628e-09 1.147573709700813410e-14
1.002597652191942720e-11 9.328102042186562268e-09 1.148133478136050410e-14
1.002658574226080445e-11 9.328668857594460855e-09 1.148693519617540484e-14
1.002720900297093819e-11 9.329248736087756224e-09 1.149253834278470333e-14
1.002784662763054421e-11 9.329841978724247037e-09 1.149814422252085348e-14
1.002849894727773016e-11 9.330448893500048490e-09 1.150375283671719114e-14
1.002916630057985366e-11 9.331069795509492938e-09 1.150936418670746237e-14
1.002984903400935635e-11 9.331705007108728028e-09 1.151497827382614216e-14
1.003054750202364332e-11 9.332354858083053676e-09 1.152059509940836337e-14
1.003126206724910177e-11 9.333019685818160041e-09 1.152621466478981426e-14
1.003199310066937180e-11 9.333699835475281361e-09 1.153183697130710288e-14
1.003274098181795509e-11 9.334395660170393051e-09 1.153746202029721593e-14
1.003350609897525358e-11 9.335107521157544712e-09 1.154308981309790215e-14
1.003428884937015264e-11 9.335835788016405128e-09 1.154872035104746250e-14
1.003508963938625573e-11 9.336580838844146668e-09 1.155435363548509880e-14
1.003590888477286707e-11 9.337343060451740208e-09 1.155998966775042466e-14
1.003674701086084863e-11 9.338122848564781344e-09 1.156562844918378577e-14
1.003760445278340794e-11 9.338920608028932281e-09 1.157126998112610208e-14
1.003848165570205404e-11 9.339736753020118356e-09 1.157691426491919286e-14
1.003937907503767817e-11 9.340571707259547015e-09 1.158256130190528602e-14
1.004029717670700788e-11 9.341425904233696498e-09 1.158821109342734782e-14
1.004123643736450565e-11 9.342299787419375143e-09 1.159386364082898824e-14
1.004219734464982028e-11 9.343193810513957184e-09 1.159951894545441207e-14
1.004318039744097526e-11 9.344108437670934003e-09 1.160517700864871077e-14
1.004418610611335547e-11 9.345044143740885089e-09 1.161083783175738443e-14
1.004521499280469414e-11 9.346001414518015901e-09 1.161650141612667941e-14
1.004626759168614579e-11 9.346980746992363588e-09 1.162216776310341005e-14
1.004734444923961626e-11 9.347982649607829361e-09 1.162783687403530417e-14
1.004844612454147925e-11 9.349007642526135136e-09 1.163350875027048562e-14
1.004957318955284396e-11 9.350056257896891388e-09 1.163918339315782767e-14
1.005072622941648387e-11 9.351129040133868855e-09 1.164486080404686148e-14
1.005190584276065115e-11 9.352226546197647811e-09 1.165054098428769884e-14
1.005311264200984613e-11 9.353349345884768973e-09 1.165622393523133818e-14
1.005434725370278747e-11 9.354498022123568031e-09 1.166190965822920396e-14
1.005561031881769127e-11 9.355673171276811253e-09 1.166759815463347002e-14
1.005690249310504319e-11 9.356875403451310848e-09 1.167328942579688137e-14
1.005822444742805765e-11 9.358105342814680539e-09 1.167898347307306965e-14
1.005957686811096607e-11 9.359363627919378615e-09 1.168468029781610990e-14
1.006096045729533782e-11 9.360650912034240254e-09 1.169037990138079183e-14
1.006237593330461815e-11 9.361967863483626549e-09 1.169608228512260251e-14
1.006382403101706054e-11 9.363315165994408568e-09 1.170178745039757174e-14
1.006530550224725573e-11 9.364693519050935375e-09 1.170749539856265704e-14
1.006682111613645435e-11 9.366103638258189480e-09 1.171320613097522296e-14
