# LALSimulation RG SLy4 EoS from COMPOSE
        n(fm-3)             rho(MeVfm-3)              P(MeVfm-3)
1.279137447050684337e-11 1.190101440235795753e-08 1.697049189987561461e-14
1.285805159695200851e-11 1.196569570920613312e-08 1.712330872276598733e-14
1.293340407913239616e-11 1.203581878754946885e-08 1.729513189156503093e-14
1.300883973549356355e-11 1.210601926885886070e-08 1.747194257706996313e-14
1.308444310415853997e-11 1.217637582440494819e-08 1.765388115905881105e-14
1.316029792593686725e-11 1.224696638348193733e-08 1.784109307940849159e-14
1.323648722563894360e-11 1.231786820907895162e-08 1.803372904607298952e-14
1.331309339331478053e-11 1.238915797348102966e-08 1.823194524616052566e-14
1.339019826549646605e-11 1.246091183387355386e-08 1.843590356855245188e-14
1.346788320650617214e-11 1.253320550800774670e-08 1.864577183653828796e-14
1.354622918991240850e-11 1.260611435000410421e-08 1.886172405095739789e-14
1.362531688020812721e-11 1.267971342636226400e-08 1.908394064437207196e-14
1.370522671478758321e-11 1.275407759224896314e-08 1.931260874681773895e-14
1.378603898631278732e-11 1.282928156814855094e-08 1.954792246371254773e-14
1.386783392554933571e-11 1.290540001695028290e-08 1.979008316653182601e-14
1.394985155648450719e-11 1.298172570429614643e-08 2.003929812444107784e-14
1.403191363296604435e-11 1.305809275419756853e-08 2.029574927441161886e-14
1.411844273947553201e-11 1.313861682827276831e-08 2.055969160120736888e-14
1.420946742889400985e-11 1.322332449806524727e-08 2.083142014634042018e-14
1.430502348390361778e-11 1.331224906318724867e-08 2.111124218448855689e-14
1.440515396394737920e-11 1.340543059502146612e-08 2.139947785104189276e-14
1.450990926441283810e-11 1.350291599179825598e-08 2.169646080529174343e-14
1.461934718859406298e-11 1.360475904556450223e-08 2.200253893145861305e-14
1.473353303297764674e-11 1.371102052155185278e-08 2.231807507989673107e-14
1.485253968645162316e-11 1.382176825050169930e-08 2.264344785097843795e-14
1.497644774404250223e-11 1.393707723451010498e-08 2.297905242433095414e-14
1.510534563582540068e-11 1.405702976699285583e-08 2.332530143628488198e-14
1.524082833098626049e-11 1.418311012851624333e-08 2.368264403460745439e-14
1.537696953360611047e-11 1.430980330109255563e-08 2.405150528247276919e-14
1.551269867581057356e-11 1.443611301301624676e-08 2.443221788713631464e-14
1.564815689553896454e-11 1.456217060749167530e-08 2.482512360155932944e-14
1.578348050569118235e-11 1.468810293754691611e-08 2.523057701639120788e-14
1.591880127599146837e-11 1.481403262833658063e-08 2.564894600695746951e-14
1.605424670047862848e-11 1.494007832606858733e-08 2.608061219849489243e-14
1.618994025143268704e-11 1.506635493430873834e-08 2.652597145031975642e-14
1.632600162049862996e-11 1.519297383837089431e-08 2.698543435963504965e-14
1.646211939094119230e-11 1.531964523349045546e-08 2.745942609373890536e-14
1.659946356068020555e-11 1.544745792158872048e-08 2.794836138343357563e-14
1.674510182403754875e-11 1.558298910983514718e-08 2.845284653163649342e-14
1.689917476835300329e-11 1.572636962962296565e-08 2.897359749386022709e-14
1.706183710356910125e-11 1.587774345489444762e-08 2.951136560958014668e-14
1.723325818174416123e-11 1.603726818560357266e-08 3.006693967188810572e-14
1.741362254973784527e-11 1.620511556204928666e-08 3.064114813434696682e-14
1.760313053782823626e-11 1.638147201264699052e-08 3.123486146486868090e-14
1.780199888711281004e-11 1.656653923779258259e-08 3.184899465720859282e-14
1.801059479855589961e-11 1.676065895613431515e-08 3.248452140594235440e-14
1.821959182165960453e-11 1.695515195710706957e-08 3.314230088904396251e-14
1.842714182641582465e-11 1.714829836779954116e-08 3.382297614166660308e-14
1.863335366715514434e-11 1.734019948832077967e-08 3.452720024798355458e-14
1.883832458303145145e-11 1.753094580968726688e-08 3.525564701937899985e-14
1.904214061423546918e-11 1.772061740115071159e-08 3.600901130585878230e-14
1.924487698470749577e-11 1.790928426635005584e-08 3.678800930141856964e-14
1.944610569027319506e-11 1.809654810383193377e-08 3.759337715019055096e-14
1.965174518511546710e-11 1.828791663932381685e-08 3.842591028309924950e-14
1.987098853783796860e-11 1.849194496222023622e-08 3.928688641496301380e-14
2.010418801398043908e-11 1.870896089297767145e-08 4.017778854443287714e-14
2.035172294664103979e-11 1.893931744127463536e-08 4.110018375058277546e-14
2.061400138204514009e-11 1.918339433739010761e-08 4.205572867662477201e-14
2.089146182004351576e-11 1.944159965192437473e-08 4.304617542654779254e-14
2.118487041964795506e-11 1.971464637597350476e-08 4.407338206226745950e-14
2.148256896701172662e-11 1.999168534987701750e-08 4.513910890891800011e-14
2.177710771718004269e-11 2.026578382378718476e-08 4.624452976325444144e-14
2.206845528344425587e-11 2.053691258917508020e-08 4.739074227606892882e-14
2.235655554502902384e-11 2.080501941991862785e-08 4.857886743994452900e-14
2.264132822869494370e-11 2.107002961353783535e-08 4.981004854864415986e-14
2.292265512374040467e-11 2.133183316283289751e-08 5.108545002796009430e-14
2.320800178379715051e-11 2.159737753217790584e-08 5.240635897494413686e-14
2.351389321137192388e-11 2.188204093501694932e-08 5.377502981419618713e-14
2.384103408838242701e-11 2.218647915311465660e-08 5.519421489432575299e-14
2.419017741725626868e-11 2.251139293566010698e-08 5.666684160518772654e-14
2.456212842640444643e-11 2.285753163373245666e-08 5.819602486209198976e-14
2.495797618462991316e-11 2.322590874139057731e-08 5.978508195611240394e-14
2.536282940361106518e-11 2.360266638367478579e-08 6.143721769876057375e-14
2.576209777014637577e-11 2.397422677152415485e-08 6.315443846316965598e-14
2.615546503016757034e-11 2.434029559775595810e-08 6.493847226228357510e-14
2.654256751015525623e-11 2.470053442641448202e-08 6.679105918577837500e-14
2.692299500633400895e-11 2.505456152024206833e-08 6.871394634857605175e-14
2.730084301852715979e-11 2.540618816508120548e-08 7.070893204629925530e-14
2.770394278848407874e-11 2.578131421143187953e-08 7.277918187272342937e-14
2.813744119079566284e-11 2.618472936341483944e-08 7.492935535137013154e-14
2.860264857745215581e-11 2.661765304474695637e-08 7.716448318654118429e-14
2.910096283951501404e-11 2.708138614381881936e-08 7.948995100207905874e-14
2.963132932896191355e-11 2.757494720731001358e-08 8.191150565473734962e-14
3.016227621451107885e-11 2.806904843333927996e-08 8.443386154365062921e-14
3.068404278193536273e-11 2.855460646397523734e-08 8.705978195949531051e-14
3.119581247435223352e-11 2.903086140752828906e-08 8.979185461796694670e-14
3.169668570227889618e-11 2.949697610157992492e-08 9.263263446508335757e-14
3.218998590483960990e-11 2.995604335182100185e-08 9.558467886628424422e-14
3.271487194162646908e-11 3.044450456163778837e-08 9.865262627319190489e-14
3.328197171230861995e-11 3.097225010811093239e-08 1.018440803370142108e-13
3.389341943954303480e-11 3.154126611780533214e-08 1.051673863646247620e-13
3.455149113944184978e-11 3.215367067187410275e-08 1.086315305425587798e-13
3.524251971779458378e-11 3.279674511857282752e-08 1.122457970801999612e-13
3.592293243358352970e-11 3.342994046423245700e-08 1.160161254253649871e-13
3.658894452972958325e-11 3.404973459480407683e-08 1.199463299496456586e-13
3.723896632722575148e-11 3.465464814554832682e-08 1.240400931454365641e-13
3.787256646320098269e-11 3.524427968613624048e-08 1.283009626290475909e-13
3.853712484998932708e-11 3.586272121024321448e-08 1.327347258290995082e-13
3.925837952688899891e-11 3.653392468364038805e-08 1.373529275555582584e-13
4.003958727272399304e-11 3.726092089786858208e-08 1.421687978056086341e-13
4.088422217621656669e-11 3.804694287597850940e-08 1.471966597060306826e-13
4.176400059617616587e-11 3.886566971650532471e-08 1.524508588662961290e-13
4.262574031038224664e-11 3.966760974395194198e-08 1.579394718298012787e-13
4.346624970382084694e-11 4.044979282018390346e-08 1.636678567422470316e-13
4.428285837942177238e-11 4.120973385425228915e-08 1.696410800771141747e-13
4.509448387499918629e-11 4.196503762218269205e-08 1.758645243057712345e-13
4.597374093222397274e-11 4.278327986806570139e-08 1.823515197505602425e-13
4.693069456402793793e-11 4.367382718046832917e-08 1.891218069388070523e-13
4.797031683233893511e-11 4.464130661912195835e-08 1.961969524995231896e-13
4.907648135139271981e-11 4.567071088615493674e-08 2.035997599948829091e-13
5.016597766651308667e-11 4.668460377491509966e-08 2.113450480351776287e-13
5.122668768637492449e-11 4.767170810212795810e-08 2.194405451970304370e-13
5.225457090504947162e-11 4.862826373814228083e-08 2.278932507580833739e-13
5.327494235189448162e-11 4.957782903298494931e-08 2.367105882929914506e-13
5.438394663343061510e-11 5.060987689276704341e-08 2.459126367473349787e-13
5.559518771424150217e-11 5.173706730713969227e-08 2.555296096176418503e-13
5.691579965020501728e-11 5.296603932578719039e-08 2.655946721705962060e-13
5.829846916761396942e-11 5.425276287176534951e-08 2.761412402953323589e-13
5.964778441854523043e-11 5.550844691262680782e-08 2.871869083620950692e-13
6.095650642138316316e-11 5.672635478370140044e-08 2.987418578320007016e-13
6.221975254006212971e-11 5.790194265155848804e-08 3.108151597400302150e-13
6.353763908056759370e-11 5.912837963510898664e-08 3.234227513187899150e-13
6.498318351242375902e-11 6.047361648332091666e-08 3.366042598247875710e-13
6.656598965903640473e-11 6.194659066262204307e-08 3.504072358966999505e-13
6.827276778912686801e-11 6.353493468523054807e-08 3.648830619333913345e-13
6.996045869468615924e-11 6.510551631632142868e-08 3.800672439226212336e-13
7.159671417480301889e-11 6.662823199898301846e-08 3.959749933448864098e-13
7.317317146561617288e-11 6.809529924515011655e-08 4.126188193149898922e-13
7.478053432982959408e-11 6.959112790853372161e-08 4.300164100090089147e-13
7.654913897836524348e-11 7.123701027747826698e-08 4.482209139701622332e-13
7.849232772068179139e-11 7.304536293743982389e-08 4.673016506549180097e-13
8.059590629145432310e-11 7.500297664038870392e-08 4.873339276629097177e-13
8.267662408883821092e-11 7.693931637540831732e-08 5.083699593711688981e-13
8.468992195961183447e-11 7.881291487742663156e-08 5.304305822203610377e-13
8.662496204783726566e-11 8.061368628509650229e-08 5.535321295401658575e-13
8.863479224325954500e-11 8.248405880983260811e-08 5.777038375826320777e-13
9.085261700864396646e-11 8.454799423565191313e-08 6.030289367881738222e-13
9.329607277628713413e-11 8.682190538239469923e-08 6.296103348244269281e-13
9.589365234049263281e-11 8.923924684915738685e-08 6.575552611412429232e-13
9.842430157420920268e-11 9.159430282496174668e-08 6.869206900034877292e-13
1.008632076096301964e-10 9.386398209440000896e-08 7.177314574043792596e-13
1.032360467035086346e-10 9.607217930588204910e-08 7.500091726704666155e-13
1.058117546456731580e-10 9.846916992498992641e-08 7.838259815549794378e-13
1.086600610123727535e-10 1.011198454586924699e-07 8.193194769581315783e-13
1.117897423131541807e-10 1.040323736563415361e-07 8.566448747164687596e-13
1.149317343381794714e-10 1.069563594566323122e-07 8.959266166032605929e-13
1.179650127793727756e-10 1.097791757883745188e-07 9.372086374004475441e-13
1.208724766333514635e-10 1.124849081327373171e-07 9.805191981474842754e-13
1.239180678788630373e-10 1.153191851580079856e-07 1.025918713595536500e-12
1.272967378316210596e-10 1.184634319341210452e-07 1.073582970244391899e-12
1.310391844398994978e-10 1.219462167768383359e-07 1.123727525171251311e-12
1.349017060722244577e-10 1.255407469801424849e-07 1.176554826321761138e-12
1.386319955581194244e-10 1.290122211208995256e-07 1.232143213575416661e-12
1.422033615764171447e-10 1.323357996946227489e-07 1.290531431922380883e-12
1.458703981313056615e-10 1.357484125706918542e-07 1.351784718866233436e-12
1.499495895502978759e-10 1.395445862217417942e-07 1.416133988843185032e-12
1.544808592998918019e-10 1.437614746037929425e-07 1.483881711304622953e-12
1.591889186809303796e-10 1.481428889595903340e-07 1.555318498923526238e-12
1.637312878807192438e-10 1.523701107889840944e-07 1.630557844313545912e-12
1.680735437567399837e-10 1.564111050887705291e-07 1.709649884289495580e-12
1.725687291824945397e-10 1.605944210111821125e-07 1.792690859861590105e-12
1.775811550843092435e-10 1.652590944625490567e-07 1.880015714086466831e-12
1.831565537131688721e-10 1.704476854686944723e-07 1.972054749801463909e-12
1.888499888307731795e-10 1.757461267625992188e-07 2.069190017085221269e-12
1.943290017420285217e-10 1.808450247027879051e-07 2.171549745247725231e-12
1.995770418841599556e-10 1.857289767835098179e-07 2.279195019822772449e-12
2.051858555826701427e-10 1.909486765046713760e-07 2.392320893726255675e-12
2.114530922973136620e-10 1.967811243659056006e-07 2.511447997075833154e-12
2.183560007247254021e-10 2.032051482301649572e-07 2.637190202886451300e-12
2.251843946700020352e-10 2.095598309836561296e-07 2.769971789945964975e-12
2.317268165862570290e-10 2.156483845832801916e-07 2.909910625910372470e-12
2.381500042443968470e-10 2.216259795644041837e-07 3.057098477911632032e-12
2.452708905431787539e-10 2.282528765748395178e-07 3.211999007973583154e-12
2.532422007050530039e-10 2.356712070730895760e-07 3.375414413884715467e-12
2.616643832312532888e-10 2.435091378401995959e-07 3.548158973489696957e-12
2.697764526849024113e-10 2.510584737162596289e-07 3.730565124036730748e-12
2.775150247537724805e-10 2.582602270207781027e-07 3.922738296524362491e-12
2.857056743789326392e-10 2.658827034604438351e-07 4.124985553961395451e-12
2.949012193446647548e-10 2.744403737760297661e-07 4.338277583868306525e-12
3.050363296804146363e-10 2.838724413199632819e-07 4.563791290345086728e-12
3.150092594828511197e-10 2.931535857895425273e-07 4.802290500156210730e-12
3.245314877326504655e-10 3.020152995533037265e-07 5.053962295865559164e-12
3.340960455644858084e-10 3.109164143387818875e-07 5.319016232392422591e-12
3.448353925476091761e-10 3.209108380226186934e-07 5.598524068828418969e-12
3.568692640398537359e-10 3.321100028446362490e-07 5.894074347465594367e-12
3.690462269856422200e-10 3.434423440328493568e-07 6.206991189436603357e-12
3.806949974342797624e-10 3.542831394207128191e-07 6.537633000426829637e-12
3.920963383001874255e-10 3.648936774757658378e-07 6.886194544521048412e-12
4.047971376802481413e-10 3.767135544985697513e-07 7.253852065347826353e-12
4.191075312910081532e-10 3.900313981981441887e-07 7.642726427447315670e-12
4.338902625817860033e-10 4.037888326930535702e-07 8.054796674062161028e-12
4.480404016711054379e-10 4.169575638554377873e-07 8.490671571326824023e-12
4.617651330770043115e-10 4.297304059520965953e-07 8.950577818647080403e-12
4.769777137905083955e-10 4.438879219697811126e-07 9.435938161711387520e-12
4.941612350580917554e-10 4.598797022985338409e-07 9.949610409151087686e-12
5.120152524998260360e-10 4.764954961175153183e-07 1.049433761196411149e-11
5.290936480961679318e-10 4.923894780667838789e-07 1.107097893046950474e-11
5.456841674935553597e-10 5.078294373919146118e-07 1.167982956864175796e-11
5.641400650765597615e-10 5.250054312065194011e-07 1.232288074881521374e-11
5.850159263725342307e-10 5.444335902024838728e-07 1.300406138430606766e-11
6.064725640059454454e-10 5.644022749760288009e-07 1.372696025639389171e-11
6.269549665790902521e-10 5.834643098535558672e-07 1.449256877038724065e-11
6.471203843570638326e-10 6.022313668906337486e-07 1.530134000264944285e-11
6.698008854671195583e-10 6.233391290939918436e-07 1.615645384222959022e-11
6.953633970187028441e-10 6.471290871132069810e-07 1.706339004227470266e-11
7.210155803611503800e-10 6.710025327358675885e-07 1.802644575327923452e-11
7.454147334598849423e-10 6.937098672345555231e-07 1.904653838501265055e-11
7.702499049402385719e-10 7.168230221366109954e-07 2.012463932926330117e-11
7.984835109253035059e-10 7.430990118608438618e-07 2.126616329655504460e-11
8.297538429354830458e-10 7.722012173276032937e-07 2.247864434739306974e-11
8.602405264900722789e-10 8.005741538282039922e-07 2.376642863049432886e-11
8.892339711626342420e-10 8.275574272356302364e-07 2.513019588887705553e-11
9.204718597544754650e-10 8.566295825128898125e-07 2.657274308423553887e-11
9.560738061434132921e-10 8.897632909884162634e-07 2.810300454788712496e-11
9.937662861899775487e-10 9.248426599338375974e-07 2.973055143831927635e-11
1.029737345747550690e-09 9.583200096875843425e-07 3.145857526779775732e-11
1.065015562796033405e-09 9.911526096817995493e-07 3.328797271716965703e-11
1.104853948057300966e-09 1.028229320277601084e-06 3.522629330134321856e-11
1.149740664033176377e-09 1.070004481589394511e-06 3.728705648601189607e-11
1.194187719759549521e-09 1.111370540712969369e-06 3.947971803922161630e-11
1.236338460143319234e-09 1.150599540393922908e-06 4.180577219234490665e-11
1.281304301471155233e-09 1.192448595865437278e-06 4.426937925505272423e-11
1.332773056996550337e-09 1.240349920288902438e-06 4.688623025501072974e-11
1.387278783104872613e-09 1.291077823089220450e-06 4.967353069557901758e-11
1.439179970320519106e-09 1.339381815665577777e-06 5.263673355925130596e-11
1.490724637284005799e-09 1.387354107808087128e-06 5.577765583612908835e-11
1.549494256354647451e-09 1.442050743575347627e-06 5.911153512014253370e-11
1.614951500851987091e-09 1.502971666917967906e-06 6.266283460384156380e-11
1.678563925320605126e-09 1.562175762361064320e-06 6.644518986484909505e-11
1.739519656470252348e-09 1.618907414056011614e-06 7.046025416147599480e-11
1.807237436341643842e-09 1.681932682852970345e-06 7.472075432438823201e-11
1.884499982994631808e-09 1.753841498637424289e-06 7.925801920889931301e-11
1.962027995096086497e-09 1.825997573954996352e-06 8.409702929660397119e-11
2.035457584953294710e-09 1.894339393151682931e-06 8.924178415530737600e-11
2.114215740675775346e-09 1.967640780620501747e-06 9.470221302906908920e-11
2.204894833498945487e-09 2.052037401248616074e-06 1.005164393391609033e-10
2.298946129934174346e-09 2.139572841246507627e-06 1.067230847662290635e-10
2.387998940426003659e-09 2.222456335390700726e-06 1.133311684257697654e-10
2.480473410599575982e-09 2.308524712931438372e-06 1.203487713774586416e-10
2.587237242470171786e-09 2.407892877527798675e-06 1.278216585754734474e-10
2.700830801283265995e-09 2.513617996390498297e-06 1.358044417982234849e-10
2.808588984536707765e-09 2.613912272496670178e-06 1.443134695266391900e-10
2.918357364571083680e-09 2.716077854410145268e-06 1.533564399741990355e-10
3.045219739525918012e-09 2.834153866336008704e-06 1.629895238765041130e-10
3.181827389800582179e-09 2.961300641977918619e-06 1.732866918424501724e-10
3.311603309958664627e-09 3.082089254246913366e-06 1.842726591573604009e-10
3.443133453283625111e-09 3.204511059399151964e-06 1.959564646187900497e-10
3.595355322165902659e-09 3.346192236994681841e-06 2.084107585388289848e-10
3.759314001745040849e-09 3.498798076852000873e-06 2.217333940865860362e-10
3.914891747636379430e-09 3.643603860552388899e-06 2.359563329030246552e-10
4.073800189668350984e-09 3.791510329524560010e-06 2.510928402324663353e-10
4.258266293925762621e-09 3.963205686867895473e-06 2.672428505526180447e-10
4.454621664876137915e-09 4.145967958823772375e-06 2.845327721656010120e-10
4.640252806593628759e-09 4.318749145955747633e-06 3.029976471311751087e-10
4.834174886755227021e-09 4.499248152088900579e-06 3.226617849954978014e-10
5.059820888761084077e-09 4.709276125373738530e-06 3.436694223506614586e-10
5.293886627630220073e-09 4.927142047410796124e-06 3.661767901818150652e-10
5.515034785107647471e-09 5.132985385457285614e-06 3.902148566868887653e-10
5.754359395863186402e-09 5.355748340527123682e-06 4.158361930014261643e-10
6.031299549094081624e-09 5.613525041497750664e-06 4.432518541479444498e-10
6.309038346843864510e-09 5.872046402236812029e-06 4.726386983586382622e-10
6.574329382028712680e-09 6.118982566799278773e-06 5.040180117097080962e-10
6.872739960545342204e-09 6.396748287319189572e-06 5.375073891767536582e-10
7.211052455664340295e-09 6.711657077284549375e-06 5.734061374786416766e-10
7.538910215952993751e-09 7.016836030989582593e-06 6.118844974244148072e-10
7.862795801506843577e-09 7.318319296031410942e-06 6.529637830017753421e-10
8.238745617521152950e-09 7.668267666689628119e-06 6.968900150167609790e-10
8.645936844510256069e-09 8.047298924245702159e-06 7.440511317866013472e-10
9.030578843252177062e-09 8.405342532678904038e-06 7.945662647154289683e-10
9.438127996521446763e-09 8.784711624531955075e-06 8.485166272791794851e-10
9.913539071255247682e-09 9.227253094931549938e-06 9.063541483625112508e-10
1.039271867493233834e-08 9.673305372837999125e-06 9.684899847687137534e-10
1.085225192438084355e-08 1.010107235904261841e-05 1.034973703309827703e-09
1.137568854903446804e-08 1.058832858161566265e-05 1.106100358836947959e-09
1.196109002647375265e-08 1.113327030364280245e-05 1.182545899286408606e-09
1.251951060904966041e-08 1.165309955343516555e-05 1.264607887764857430e-09
1.309572544005944097e-08 1.218949727795971724e-05 1.352376145209127315e-09
1.377263828430026830e-08 1.281963932055780630e-05 1.446561393332122155e-09
1.446321346665654350e-08 1.346250449203855191e-05 1.547907660144935487e-09
1.512427744409925770e-08 1.407790210519063646e-05 1.656515823994970072e-09
1.587863461345678143e-08 1.478015383170302071e-05 1.772877506517143680e-09
1.671955739369310983e-08 1.556299810011722533e-05 1.898138877628652059e-09
1.751776822796336404e-08 1.630608645677169660e-05 2.032761966673330425e-09
1.836070478476930533e-08 1.709081867357521096e-05 2.176954291535132546e-09
1.934731173400382291e-08 1.800930884427591504e-05 2.332021423609173572e-09
2.032912321351727519e-08 1.892334262080306830e-05 2.499070360447262436e-09
2.129143652152557256e-08 1.981923249236120665e-05 2.678226211314672099e-09
2.241769624130035878e-08 2.086776220885979820e-05 2.870646610375834270e-09
2.361793238930218075e-08 2.198517320694874341e-05 3.078184111857938770e-09
2.475461035226514115e-08 2.304342232016641653e-05 3.301243056913002124e-09
2.603338512211381763e-08 2.423397582669445664e-05 3.540651755513134701e-09
2.747708326182427161e-08 2.557808829997356947e-05 3.798895798516318072e-09
2.885046763106692892e-08 2.685675043396641395e-05 4.077087808686483918e-09
3.031227933122547097e-08 2.821775586206476630e-05 4.375713488100206445e-09
3.201944019383492537e-08 2.980720840349941478e-05 4.697697831441096767e-09
3.369231749921582137e-08 3.136475835680266799e-05 5.045207430482040454e-09
3.538185498107148928e-08 3.293783821117283431e-05 5.418571472371755084e-09
3.738226626813804904e-08 3.480038545340503273e-05 5.820936152406499986e-09
3.941166436010439881e-08 3.668994393266633173e-05 6.255796099347679005e-09
4.139578576717685468e-08 3.853736846496559772e-05 6.723602844915157307e-09
4.373275072896751783e-08 4.071335459403090394e-05 7.227595127204991204e-09
4.618561859236664658e-08 4.299728839709740383e-05 7.772815337994774784e-09
4.853984332265988618e-08 4.518940173037704977e-05 8.360140580039465345e-09
5.127615612196109651e-08 4.773732708080418694e-05 8.992907018382107183e-09
5.423014550450370224e-08 5.048797946937703729e-05 9.677921793781801028e-09
5.703929436425663234e-08 5.310379819562627670e-05 1.041677688167986676e-08
6.026513599618444182e-08 5.610767585595032356e-05 1.121303929822611135e-08
6.380811352809547353e-08 5.940691529610983302e-05 1.207559299515556648e-08
6.716822881264680059e-08 6.253591946536016959e-05 1.300695515694498199e-08
7.099891035764612644e-08 6.610317958858979515e-05 1.401121217484037060e-08
7.523957314086649286e-08 7.005228885816924920e-05 1.509980406840857444e-08
7.926139695545261326e-08 7.379766496264603419e-05 1.627625164909544618e-08
8.384378754605817386e-08 7.806514744535977379e-05 1.754567336794989342e-08
8.891414992460586154e-08 8.278714539384743906e-05 1.892274151590836278e-08
9.372933026229726267e-08 8.727157112276304012e-05 2.041187839488057127e-08
9.925151104452649107e-08 9.241452530417074021e-05 2.202011561347851610e-08
1.053058882381594936e-07 9.805322751635527469e-05 2.376619548348282475e-08
1.110777900323675142e-07 1.034289477193592614e-04 2.565511486661668355e-08
1.177819267807738066e-07 1.096730337172590789e-04 2.769733568666441512e-08
1.249908779805630207e-07 1.163874193211907754e-04 2.991647625820109388e-08
1.319329591916707225e-07 1.228533721258947935e-04 3.231761329129143201e-08
1.401229262966763203e-07 1.304817787936997223e-04 3.491719173037332183e-08
1.486679515185760952e-07 1.384410588919046702e-04 3.774396866995859213e-08
1.570743053713636116e-07 1.462713411061528546e-04 4.080284589426852542e-08
1.670918873831900410e-07 1.556026388603832340e-04 4.412018548460812616e-08
1.771826233057193251e-07 1.650022823496752192e-04 4.772878776044168064e-08
1.874777545305470149e-07 1.745925437852356699e-04 5.163440478248372360e-08
1.996904162871073335e-07 1.859693102840944193e-04 5.587846173214729826e-08
2.115609469272234493e-07 1.970276204055197732e-04 6.049445574593574843e-08
2.243728042645920200e-07 2.089631439646873646e-04 6.549347484076674485e-08
2.391325691476757470e-07 2.227136722920546074e-04 7.093663521254303399e-08
2.532077916996750054e-07 2.358267965954157310e-04 7.685257453574791220e-08
2.693185895073991480e-07 2.508367523919160721e-04 8.326864589750619669e-08
2.868822549987815558e-07 2.672007259176611494e-04 9.026551533699501938e-08
3.038992349765844020e-07 2.830557906730716048e-04 9.786281789918102576e-08
3.241627393277972460e-07 3.019362347124900483e-04 1.061221298050157790e-07
3.446942912141908091e-07 3.210669622181306455e-04 1.151327657180718739e-07
3.658620471772129336e-07 3.407910724472733429e-04 1.249123745753611126e-07
3.908393208182044913e-07 3.640655728746979339e-04 1.355749784389054420e-07
4.148478218889600418e-07 3.864380180297580952e-04 1.471961251994080400e-07
4.419593267915773943e-07 4.117028153342698355e-04 1.598225763583565170e-07
4.718530760673524281e-07 4.395612089629826478e-04 1.736198850093469245e-07
5.008699306399613655e-07 4.666033034674481697e-04 1.886328952970528221e-07
5.355114392993792302e-07 4.988883419307061457e-04 2.049915216586553837e-07
5.701842043132997436e-07 5.312035877527200318e-04 2.228707165021458669e-07
6.069572944353429142e-07 5.654775734611029248e-04 2.423140872382333697e-07
6.495728968765041178e-07 6.051984027973391451e-04 2.635720013813469148e-07
6.904303817939064864e-07 6.432819287248545039e-04 2.867630095427956181e-07
7.384358278867492006e-07 6.880298098031407180e-04 3.120362109411758913e-07
7.883379840263215186e-07 7.345474252481875741e-04 3.397083644802677445e-07
8.394097152737274275e-07 7.821571921432536861e-04 3.698465563259043906e-07
8.997301943033926825e-07 8.383909830408075572e-04 4.028179048742682561e-07
9.577445656410073644e-07 8.924771013819754331e-04 4.388573165099241095e-07
1.025113371513063366e-06 9.552869247752793181e-04 4.781660628381595971e-07
1.096256475406468422e-06 1.021618396420020036e-03 5.212639333265353537e-07
1.168508617477264882e-06 1.088986911828400666e-03 5.682669081585947957e-07
1.254066831917118834e-06 1.168765646773637897e-03 6.197468429715551086e-07
1.336489566281939667e-06 1.245624203886595187e-03 6.760856644797770987e-07
1.432649505530804167e-06 1.335296875343628233e-03 7.376189062733370147e-07
1.533186188848992845e-06 1.429055399591761628e-03 8.051610060023553218e-07
1.636936427367179096e-06 1.525815680703258110e-03 8.789011966717965073e-07
1.758608891541267549e-06 1.639296307171326291e-03 9.597994197833814010e-07
1.875898163183600442e-06 1.748694468893650759e-03 1.048379075781324156e-06
2.014987871286862874e-06 1.878433248582353802e-03 1.145308407157102346e-06
2.155776368512912759e-06 2.009763492941185180e-03 1.251783584554624873e-06
2.307591174444582715e-06 2.151387276855274647e-03 1.368149400058638529e-06
2.479942034929503864e-06 2.312177394366283882e-03 1.496055372186915036e-06
2.648507655855405081e-06 2.469445343412337863e-03 1.636095596903678281e-06
2.850360815348604992e-06 2.657780880976819051e-03 1.789723756173823635e-06
3.047460060482211203e-06 2.841691773397073736e-03 1.958466827973175653e-06
3.273841730605592844e-06 3.052939041978999443e-03 2.143200924551842856e-06
3.514016626749573448e-06 3.277071149218233580e-03 2.346536449565855149e-06
3.762111719378855178e-06 3.508609708554988327e-03 2.569140126545483893e-06
4.051780764188603745e-06 3.778965270619326008e-03 2.814045662601126911e-06
4.332912594172188456e-06 4.041370651180510414e-03 3.082774810313260571e-06
4.669180964455664016e-06 4.355261633837750543e-03 3.377838192510823260e-06
5.000746425727615269e-06 4.664784122155722114e-03 3.702527503943579929e-06
5.378369053644041830e-06 5.017327913227190295e-03 4.058444995444502381e-06
5.781649334999223876e-06 5.393852422042021318e-03 4.450758256680728191e-06
6.198913210371597076e-06 5.783462981724827798e-03 4.880857708802063587e-06
6.684492039358837608e-06 6.236895385087751729e-03 5.354751649388884905e-06
7.158225692831460192e-06 6.679302140797567858e-03 5.875313797891543962e-06
7.725626180741527245e-06 7.209224646679719510e-03 6.447922915066975672e-06
8.280619706137702234e-06 7.727602056835362020e-03 7.078530836195810001e-06
8.926918615267472152e-06 8.331313109119643789e-03 7.771057181853638550e-06
9.594652786222498885e-06 8.955099539102093914e-03 8.535208902861225337e-06
1.031579525939270167e-05 9.628840518387063799e-03 9.373953432364415605e-06
